antigen,trav_1,trav_2,trav_3,trav_4,trav_5,trav_6,trav_7,trav_8,trav_9,trav_10,trav_11,trav_12,trav_13,trav_14,trav_15,trav_16,trav_17,trav_18,trav_19,trav_20,trav_21,trav_22,trav_23,trav_24,trav_25,trav_26,trav_27,trav_28,trav_29,trav_30,trav_31,trav_32,trav_33,trav_34,trav_35,trav_36,trav_37,trav_38,trav_39,trav_40,trav_41,trav_42,trav_43,trav_44,trav_45,trav_46,trav_47,trav_48,trav_49,trav_50,trav_51,trav_52,trav_53,trav_54,trav_55,trav_56,trav_57,trav_58,trav_59,trav_60,trav_61,trav_62,trav_63,trav_64
AARP,121.466428467292,156.99890653668,180.05498883894,222.871388955623,161.908942074986,496.471040626902,107.732509453117,194.142033837419,260.401024514327,174.176732657087,178.387352134906,143.881451629428,209.008315266841,203.547858242923,245.97906737599,94.3082225525175,136.363068447879,207.840010950033,140.247166495751,719.021942119626,218.984403937273,164.098264145573,251.215618806757,197.194762387579,111.201823486643,373.887152025926,186.185944497708,151.783378258854,113.750445935823,120.497551373252,115.078822743977,92.2853506727665,379.223060695887,114.842255274666,168.987161035115,121.523685791479,374.740349737385,173.891841300743,170.644043615249,289.241571547389,276.472762868194,101.968947578227,127.03626153823,143.35122356919,219.272461796489,162.202330708654,235.277765679613,45.5289903849563,177.792039228444,89.3003711769489,156.32103747852,132.943200538283,445.971979900587,114.6939408755,90.540134801564,182.489692317999,94.9180768922481,97.7787339914205,244.904098221697,136.532113629088,68.9481853121296,150.526063193747,249.661586672159,179.7894754828
AMA1,50503.8758850564,86193.7948109154,4218.70488012431,12835.8751738962,4230.6680831338,129902.029059342,13307.4862017473,17715.8327920328,67804.0737057516,161149.954382347,163655.31915695,8067.67172998784,240682.10794618,17956.4328814103,300821.868175871,17335.6427027955,30445.6245821977,26796.700127478998,276844.564346649,39254.8072746222,2846.36250985624,21145.5396082846,168801.037995874,61849.4982935235,308423.917788084,169401.593525683,14992.7092487576,7629.69825708436,17829.8697257663,20765.93800863,91747.2506790104,30505.2019071249,93347.2057347704,18508.8476060214,23144.0359186154,41977.955692905,111696.893387855,19675.7910557103,22815.8747520075,153653.715393648,165012.346798757,5376.5534859289,65460.9891057354,55804.9829429338,210649.322874643,37947.5495263594,23300.355141087,6087.05381152365,14961.3657385214,328904.025024194,3849.90584002892,44149.5055705932,14819.1999044504,7005.69190348876,4772.77886097968,7251.9419321762,191746.222847813,24510.9673575595,42126.4966497242,47399.3248311403,5553.09620868188,14375.5339950301,311643.332265687,96784.4160152727
ASP,26877.268322885,34357.446122112,20580.6747974336,23000.8027394939,4970.36132967694,108227.930204387,6797.08363557678,87795.4269827804,30296.169199218,26590.312335521,58664.2107019039,67504.3726969046,56746.4456752042,16374.7623499732,15686.0425208173,16432.3724531687,26690.7167757929,35653.9270330741,17136.1988291317,88772.5556394127,10972.8687778926,14037.86406451,95356.146309198,77064.2978201106,49938.8639105395,59304.6629239379,14100.2487393138,61570.1365936433,10350.6792471268,9927.66005214158,15580.7614885898,81121.6940097199,17937.5538243505,12216.4512416407,22434.0396153227,11462.4208836633,135861.563885384,39319.9686650724,115282.542330961,30152.1662067139,87336.5968065033,106391.080838338,37421.2199467113,46319.1029562975,27505.5751600393,161333.469217047,34282.7966999577,29183.010555666,10876.9807256901,27855.728081755,5270.40702919914,23573.6587705779,42532.3531454935,6848.44359394655,5019.58176642341,6545.49757182474,18853.8074494383,26090.3968346705,59372.9831615416,64333.0618428653,73859.6370481085,15493.0275221387,79029.4870088644,10828.2449568056
CLAG3.2,1371.21804151138,999.641199007205,913.90632261146,1254.66055958382,929.327356385011,2173.90595390141,1039.01960770526,651.63926328726,4039.59841821866,2367.04055935797,1315.02833640089,1295.49565778572,1721.61986978502,2240.39306102542,1105.40271516676,2093.22650476793,1498.21752310729,1787.89409446781,1712.41018559444,552.845693406858,713.133041115266,968.050881394543,1736.97236533592,883.278015667099,1931.37671393508,3062.1203719303,1334.87919776131,1352.89808589197,909.331287165838,1662.03126533269,1116.86361077986,1084.1903096756,1493.27591583083,1413.09697908672,1128.28124273674,1086.6610842729,992.424614467948,1750.3939104518,1029.56983151378,1715.23663670825,2054.37338851856,1724.67468042176,5052.82908367509,1784.30987783638,1975.29946126671,2889.82812570377,974.350224477214,1210.76557670075,1261.66929783039,1359.36908543672,910.226222740382,1417.95816737449,1018.36228639454,1032.33821663763,812.216268840778,1370.13760939897,1569.91801275766,2890.42312915778,3651.19196835709,3474.72723006187,909.877282851827,1085.5632030234,15906.9437530338,1685.60885653627
EBA140,368.150530134192,738.20210418748,317.091416966965,301.265217319541,303.89359414243,934.340720919562,328.523232450263,239.104239729227,449.171357117359,492.544551056913,436.805552732057,404.785975944438,539.582851299664,600.677961893383,269.958070159815,427.574350870191,394.660701021107,474.60013067454,468.177567019229,180.83467105911,201.692660316035,391.843947305498,1253.27832378176,376.590649094589,664.25372755311,553.804725233838,495.368425399689,240.5002587412,352.174855443569,831.886836174979,692.889761243302,538.175523866296,395.115083433023,220.001332347949,301.856990672441,246.208997435458,179.682769569803,576.62826723841,1261.00450993613,801.040964960572,825.840172110078,694.904711103254,610.737105821436,433.308073362491,468.220105334825,438.253203551277,393.476474807677,168.380835805215,189.339411667773,641.042871264858,1840.31885586884,1731.92062165341,331.278847046145,549.868154654427,960.404267722915,223.534459437261,293.329344135409,526.144580940709,745.870749888588,623.988734185437,368.738303345051,342.461297455605,1342.23878490523,263.512850904707
EBA175,3748.86821453623,69626.9400111556,1662.53713557944,2189.02270005689,1499.02133561511,394380.868602437,1116.7145617533,5296.09895048038,22106.4886686802,20864.6775467425,57095.6510786924,2150.10198909101,11147.4031113934,4789.68568563921,476980.131118554,5608.16406653055,4759.17337918015,7030.75724014014,54240.3282118697,4625.62642975689,1370.77129097711,1501.07362614477,106736.795318181,4436.7323619598,22586.7354488383,212878.861350469,3467.86206215654,1859.01194752172,91497.9724206934,2395.87109853647,232963.035051349,3731.35570304851,42223.8757521766,3504.81768343521,6575.40924817891,1915.81903882092,7394.43678410179,7903.94335286724,44267.2145953175,43387.3321795042,160948.333000659,4975.70977816442,87526.6859041832,3420.7683914282,27327.9301986549,3746.50871045614,40775.4685951871,2103.04030821793,1526.36489923643,423435.253381829,1250.68389084827,58751.2758447076,1563.94678870571,2234.65304177434,875.551820236584,2136.74642641817,51488.3401501994,19499.5370972623,14263.1688619737,15060.5875419162,11586.7320960456,3507.61279458967,214226.732175175,82913.7835385568
EBA181,1948.81449733073,3750.13083500881,374.272056222251,590.041119770946,650.35703285375,16112.4356245825,514.991001003669,493.28462534429,1842.92105359001,11694.9217328019,2167.27770098231,656.78520334568,1315.41167190916,2202.18418817012,10781.6223006835,2223.71577122172,1760.20964116007,1184.59872339692,27117.5134334507,350.352041939436,533.701418428108,630.84743142428,7958.77540812446,8540.96689966226,354.003392655213,49585.3598039805,1108.37222281856,422.335398854277,2193.41211906823,1219.33344585259,21543.6653110276,868.40086855685,1203.12690704614,853.625771452854,552.91952129543,4059.45187293328,444.918318708459,1609.07927957657,6846.08625735759,1092.6551552309,2542.73918715165,1546.21006834967,14248.9337355059,1287.10735667067,2042.1107243313,1717.95182141788,854.162039850669,509.876282059696,523.761798758184,17318.4792040219,482.292387672572,18639.5837843806,509.986134713517,792.734498225406,589.548860640455,683.797060469555,4068.21681247158,5230.35001713257,5186.07217593306,1885.6811866173,832.449443965243,806.750082552177,9657.43767307984,10076.562038088
ETRAMP10.2,730.807205831423,931.392729434887,1618.26388471976,1259.13740047423,1337.54266119604,2114.46873110059,763.366523464192,1037.01645613918,4072.16319527786,3738.15045280748,7222.24148538793,1400.83755638826,697.786827556319,1905.58978758637,1514.10655494643,2086.45107046794,1201.3144513922,2733.50745808406,1143.46196493549,443.183642308484,667.986038359589,716.86242838651,2830.83983125968,1348.60461700769,1356.00041892957,7119.696299409,1271.38230680019,1185.29491529544,669.786157506494,959.568793027216,795.696961676837,969.166327541523,1598.7681451523,660.33371187613,880.779584871418,608.118494975743,831.084940986861,1309.36867088165,851.53534521064,1304.95207534662,2228.71589347727,1299.87637256151,4713.6804266863,2927.18840546733,2230.02427830219,3094.16459139566,1441.7263179107,1356.46410361941,1381.3141250973,1858.14316588131,751.701533423206,2963.75100006874,826.764725255645,1600.81812745547,894.750563848283,1309.13866476076,3614.0910573718,4657.52331760075,4829.77620386071,3560.66439841692,2000.33102862668,916.876235073646,27374.9939343228,1334.75089218379
GAMA,85303.5071829118,51828.5317984665,47800.0393136775,57083.5606622331,3374.69570404944,104311.426796635,34486.2247300998,151214.196449363,92775.0732285154,38192.8165900424,69646.532355295,82562.5036184651,64062.6607365708,18510.5412720958,36481.2060954697,20188.3063078995,93445.5850647012,57448.7084901583,75674.3012983313,84758.7468914485,86740.5039822403,20217.375578755,26110.4844368722,62889.1992078803,42727.5299220526,89993.0449789415,21976.6762665307,139425.549202769,30091.6323816203,21754.8303443622,28001.3805885101,468476.855771477,68078.0229041675,106505.770647306,8992.77780854201,34512.1774278229,197626.077620674,83111.5604619455,116142.709099787,48053.974273213,113824.961465549,18634.8874429697,41314.0232786698,149699.378957124,125264.774559029,92529.3447145365,166997.147614525,72507.9904510235,21769.7792830637,53319.0521506909,2527.80050593202,37247.6690250335,185486.61487792,7274.91817562719,2761.25489827747,3476.35060741281,39414.7723607167,22967.8455522512,133825.533660587,137022.414491292,97400.0843111303,20728.5374903654,71605.2649165674,7675.62577266038
H101,3367.76473233712,5166.46886307178,1086.15187620839,7118.52613993101,925.053770567987,36013.211712917,1522.14364465219,920.661926152043,6359.60742904407,4651.26157482169,4500.73338111063,2112.56654431174,5133.23981098643,3094.97062313682,1910.80385690009,3502.31083360587,4249.16824464283,3638.42707140757,5457.08500699891,1483.45959470414,870.805171697747,2192.23597828649,29629.0041320648,14897.2624054395,3365.6658079618,42156.9272997212,2147.50605590551,1325.39933359889,2285.31296273785,3319.35433615083,12381.2456283407,1979.2303568657,6300.88641069899,1166.08576467599,1572.69765473707,1549.09794842609,1060.53934559804,2706.24187042601,2854.37236342367,4797.73658377894,9696.88458830813,1270.9102721855,6609.00592554822,4092.79802456543,5498.21536916052,7381.02000699301,16891.3511829635,2214.13386215533,2289.38300302718,11812.3391681385,891.386817570277,2367.17909029397,1655.65529268434,1746.37178920253,993.410944529708,2565.65161433947,8328.6229858756,10182.8392175132,11772.6786027264,9048.84327452866,2622.61108189067,2365.37882286107,17867.392226293,2633.10501137827
