antigen,trav_1,trav_2,trav_3,trav_4,trav_5,trav_6,trav_7,trav_8,trav_9,trav_10,trav_11,trav_12,trav_13,trav_14,trav_15,trav_16,trav_17,trav_18,trav_19,trav_20,trav_21,trav_22,trav_23,trav_24,trav_25,trav_26,trav_27,trav_28,trav_29,trav_30,trav_31,trav_32,trav_33,trav_34,trav_35,trav_36,trav_37,trav_38,trav_39,trav_40,trav_41,trav_42,trav_43,trav_44,trav_45,trav_46,trav_47,trav_48,trav_49,trav_50,trav_51,trav_52,trav_53,trav_54,trav_55,trav_56,trav_57,trav_58,trav_59,trav_60,trav_61,trav_62,trav_63,trav_64
AARP,0.568261345498511,0.558486848164888,0.498803254856116,0.365649799857479,0.428679702533695,0.452961807883982,0.437393778422865,0.42003130352462,0.598058201509407,0.489713416283811,0.449353945363778,0.500741763352969,0.502692824972784,0.402686282985263,0.369356966112872,0.491468681187275,0.491789648837203,0.624909439726382,0.489844546824359,0.271961189522083,0.560315279675066,0.473282576092546,0.571634696769158,0.574979492105725,0.368166070011804,0.445710045135,0.497999780245193,0.536828687200475,0.44822786373449103,0.308960130056928,0.49575643752272,0.618194457232422,0.426262695471243,0.516466151445251,0.361851229901904,0.338446201655101,0.385317591990171,0.476065526522017,0.711753563796971,0.444282966334131,0.424392190364831,0.411194128977238,0.649735681524755,0.360994200206096,0.526265529258476,0.367306812493964,0.125229536926028,0.567487024609605,0.226245604493192,0.413984362281958,0.476123891745525,0.406415456397492,0.471034051821417,0.437772244587605,0.429146277535319,0.464296260826027,0.439857536917048,0.483203630238222,0.46714583397115,0.440773552142719,0.591305732622785,0.493276338004143,0.431686988368675,0.352128190115464
AMA1,0.349924865651437,0.18810048316661,0.33540833393576,0.224345389856902,0.299257316581251,0.145761044672341,0.234306353979563,0.318440351178299,0.096380480464343,0.214422158112181,0.138909511826281,0.263673900689884,0.310060681715382,0.304824122223091,0.329334713861632,0.26234848054886,0.283192893775088,0.179919868747466,0.342650946650668,0.173472063584525,0.359923458574411,0.287387316518067,0.255496526603153,0.101193260840255,0.332673729018068,0.223911787966406,0.250307483295735,0.231125926594227,0.311795918324792,0.158976640382463,0.10291605364574,0.123674286932247,0.224001664318596,0.0965945750024078,0.566112169696859,0.189147682179679,0.27505937467284,0.137955967723484,0.532139737062345,0.219103717923807,0.217490729173241,0.412423275660527,0.204766679369537,0.247765274614207,0.225352489865925,0.358102620776903,0.256374138809626,0.49761587945324,0.382195497754041,0.259810899227516,0.294770162303271,0.171172489982877,0.327042334638654,0.322495909354363,0.294143580913616,0.32758595581455,0.198135997130929,0.279329398623264,0.27885772895534,0.23830663318369,0.233471073279251,0.254672960171031,0.235700557266468,0.307131174935192
ASP,0.112790651625753,0.0967056249147808,0.117870326783819,0.128951031658753,0.143153538730058,0.186578009101144,0.143155352431206,0.112831877850152,0.0995187034339644,0.175451498422357,0.0719456477014574,0.110501036000119,0.0595437960460136,0.187068266023829,0.284031967768163,0.156998813444739,0.167739840439072,0.17668262138973,0.169883837976049,0.057962293044751,0.149208419740056,0.161335038805655,0.169760761790154,0.0913674905053008,0.124580661350631,0.133683882559626,0.185275578441836,0.0347133456128662,0.220889755039118,0.159610108353705,0.120276723028518,0.11624248277475,0.191271400923976,0.121932393140978,0.41385474472057,0.448900990992484,0.11287647578843,0.045938802506079,0.186214000757927,0.165867267779269,0.138677751245091,0.0760312634017076,0.345157086879141,0.0893826377916957,0.202219302261427,0.0706753539361133,0.143596144987602,0.0940780670720063,0.293250003247758,0.12378858812636,0.149315880167557,0.116923175676193,0.150946651830626,0.151031090761876,0.145506168920787,0.183396439264773,0.267996854351585,0.166430608455786,0.14366833078719,0.137319767982837,0.0778777186166641,0.172454034832109,0.13179239518517,0.166273807966081
CLAG3.2,0.443406509230004,0.611528606325193,0.541831906113395,0.933306195746602,0.591028832234724,0.652838798994514,0.5130359721235,0.655260004722558,0.279361524508125,0.511730309551696,0.540238763856029,0.537258004762847,0.322210890291466,0.491414623892365,0.685711110182854,0.541707186030127,0.557164077241498,0.754574417915655,0.297529811940682,0.625272123192358,0.583230463533198,0.563572923868615,0.593492929371609,0.579153204533394,0.34977931103912,0.515281769179635,0.553178945426795,0.482264853488017,0.422032038836229,0.703807082359369,0.327664278963118,0.687611753445573,0.525881709816993,0.371351582237996,0.833077607200542,0.584560802198888,0.59880307584677,0.473800585817618,0.675138402038607,0.522994622406137,0.528715146206205,0.63211193296054,0.744353591973677,0.583927629818139,0.573667318966825,0.719501733564023,0.486925086817657,0.547656442408876,0.600916865503044,0.592554253609264,0.594316904706938,0.692651917989502,0.591029077531827,0.563158737087423,0.587227943028837,0.566154293915101,0.642518345464903,0.538774224845331,0.500851022684851,0.506820267941185,0.45545965707024,0.54926058600397,0.262371094677101,0.547235829911211
EBA140,0.19826477681465,0.223848485785859,0.333993651345421,0.350213006465126,0.340085366607701,0.312462409587985,0.366010835448612,0.328282275487781,0.281735164386924,0.323567136960279,0.296884681772944,0.333769617256162,0.310109774827615,0.287447751540335,0.144815846318337,0.317024734225012,0.296401153544053,0.352368150286828,0.136024671207241,0.406371905054498,0.448398066570211,0.319771568669706,0.409607856773245,0.570236935461891,0.222425008502889,0.334684153567074,0.331150730069916,0.257741080073829,0.361075057802868,0.358366954874016,0.377764455407198,0.507422766737431,0.33446437626461,0.291019071494221,0.288208217218656,0.187884387305824,0.351308782634938,0.383891072048895,0.450427571705355,0.349658439491014,0.32611898712432,0.512792827217049,0.265481867239754,0.44431094041561,0.336676892287574,0.455275435759157,0.122510337447655,0.189941357627092,0.417099408209891,0.253849655513422,0.493833908071364,0.292474583927636,0.352272088917965,0.362715481436471,0.409240121080831,0.345671975528474,0.379106076395468,0.359019866487107,0.297813403092248,0.325647898448191,0.173308060809032,0.317259758780936,0.276954472805616,0.336958134652932
EBA175,0.324971240070578,0.0721188067943033,0.281004130170528,0.29191769889064,0.261467255576457,0.311983514235993,0.242305378948233,0.304139568458671,0.0635203744057734,0.201834633233514,0.0489276814110148,0.235856185306791,0.09734662545719,0.341329573194095,0.312581235806506,0.244788766667723,0.234774516773101,0.36214420699843197,0.145535196243236,0.132652306379883,0.34536813341728,0.222731573499041,0.294420750993027,0.140068532276298,0.102265770582086,0.170091996905293,0.244759797440894,0.212511657945895,0.111622333268965,0.20644013790586,0.166188603606816,0.22780170033268,0.2023664814123,0.138140518312611,0.459706731287637,0.237716740359363,0.259191984433808,0.0772834981771884,0.484392831270794,0.175054309977447,0.155378424969649,0.272345361028557,0.0895085706127336,0.365767412291925,0.26392467217752,0.739505820665726,0.0854571484905143,0.317515085063409,0.361252749282145,0.0920979894162105,0.263815111744767,0.142746806490754,0.2803162711804,0.271030497508707,0.23607733021383,0.272459697847835,0.258619190401996,0.209277310630901,0.220817183149309,0.215795021581928,0.131303293351741,0.250599941369012,0.254859502652022,0.168625678295785
EBA181,0.268108256594188,0.13864492620741,0.500916739807323,0.744088493272248,0.478289671494785,0.21244711784947,0.429731687668557,0.529073204274469,0.261606585457651,0.227459737254197,0.206738505126011,0.355879010394225,0.197246674875596,0.381249687976069,0.371488789118687,0.322881603815908,0.318347580881541,0.390021779009157,0.202503265609575,0.3137815821262,0.398868399643203,0.29515111658873,0.328207748394078,0.165005873292238,0.525955376019965,0.189842143534139,0.356929589171385,0.605284353271337,0.182870084436108,0.335585215381668,0.128097397760457,0.553728765237299,0.311195475729414,0.488408365862438,0.366179370894534,0.140739702557121,0.490825903100319,0.273679765879165,0.435516458896536,0.338543088540704,0.28452248374848,0.591244370161299,0.254805645373043,0.380703528597864,0.366925942756294,0.439827001796457,0.343794334600438,0.463473321074406,0.388171830165937,0.236717742076605,0.444343529858775,0.200162455780178,0.43974818357205,0.478164420777786,0.511623719128889,0.468383577777285,0.355488942021876,0.271157741169077,0.254993015201427,0.317990923757248,0.407248455541895,0.302526907156931,0.186380035393987,0.276298288305183
ETRAMP10.2,0.620656182109965,0.592445973791416,0.46578261545613,0.936874480099086,0.676768728907771,0.724901818790765,0.804710242027382,0.788464862418486,0.292079440703026,0.538760549641608,0.314330889972203,0.630517299853065,0.59818378004180806,0.53161390399631,0.817703899539754,0.595826512010859,0.630290723122887,0.697897641034494,0.36388149660356,0.661188591692936,0.846957360906325,0.679813860052257,0.793627649081082,0.504375878595025,0.395899970449762,0.446024437079848,0.562835799484342,0.803849193418996,0.747919663499155,0.601295704488549,0.46982104309653,0.782474161841424,0.617746966196095,0.355121832224757,0.813227312753057,0.845819027904825,0.744877276247493,0.438196124137587,0.702380276122195,0.640506536107612,0.577664521914496,0.862049157883476,0.821236292768179,0.603520734866028,0.597490070907073,0.893175679292675,0.440622014828029,0.693574808621082,0.881593623169444,0.638410652982251,0.714498498950243,0.500428791780774,0.728386725004013,0.665447379993032,0.703669117210042,0.707177176592284,0.913624444715377,0.469254437574591,0.469013790142062,0.512745828030461,0.311340774817789,0.640243067043155,0.222713502614111,0.722346434662761
GAMA,0.0190811090405927,0.0497817636022294,0.0355632516341004,0.069432841610285,0.113160612587475,0.09965872154167,0.0582920371612877,0.0836821881296939,0.060859215143472,0.0791346249731916,0.0894068814555646,0.0564923005002795,0.0219736280351122,0.0775899159075627,0.250538216369357,0.08853221117997,0.0677066302201798,0.0563408380030802,0.124199142984331,0.0361582250701407,0.0268948787830713,0.0648673251119674,0.0890111488103989,0.0469062051403015,0.0709928530508375,0.0636622622372447,0.0614344955235244,0.0201434208855843,0.0331768717407753,0.0468003353367273,0.0637742804983064,0.0816801084412529,0.067844905387802,0.0568233477926157,0.164791172658782,0.0387496005614587,0.0696982215334806,0.0144059598613345,0.132123801478303,0.0800896985848954,0.060293838508323,0.0964300534429262,0.104755483371792,0.0481166784403689,0.0822994087689247,0.0771020066939571,0.0325338711363044,0.0213486822833613,0.116298698990196,0.0446830434995127,0.097560856412455,0.0529514553608778,0.0701520655628069,0.145113769991616,0.118822727242266,0.127535718352339,0.201774051278396,0.0906392644463914,0.0631563868204344,0.0608861682361777,0.0621664225787714,0.0830054609296154,0.0648536144794304,0.145108697726863
H101,0.239416765080293,0.151812896964469,0.414091027220053,0.161450354644406,0.35587720117504,0.14190485310902,0.326783848755644,0.494430258636868,0.154223243813341,0.346886625991422,0.292048304925395,0.322695497789344,0.466435944354528,0.487885927706773,0.433556259015835,0.318066855480844,0.323714385962715,0.383103209146088,0.18342481534115,0.449058486654905,0.388578139083162,0.343008585251623,0.477110175870863,0.0789795105229607,0.219235674972507,0.205243385686925,0.368934542887753,0.29811954583013,0.159696530165994,0.541712413068284,0.0804244609761202,0.264649532968915,0.304225551063344,0.359426021887852,0.569454968273713,0.449672557314702,0.41836019821709,0.14051164126683,0.464258750551518,0.343585064515521,0.271358272113616,0.677413867423649,0.48814624684204,0.328828395530767,0.366102743183726,0.409853163410807,0.112519552010875,0.699646547105241,0.326633602049757,0.161827368688845,0.371154935259369,0.410398977184714,0.357564903141044,0.368828529687157,0.369972441943936,0.391519619064045,0.322584154239964,0.287229255896893,0.278252509926405,0.289187060508229,0.187360818862201,0.362059223846555,0.262293433428538,0.322791565432549
